GENESIS-Tabelle: 61111-0002
Consumer price index: Germany, months;;;;
Consumer price index for Germany;;;;
Germany;;;;
;;Consumer price index;Change on previous year's month;Change on previous month
;;2020=100;in (%);in (%)
2020;January;99.8;2.1;-0.2
2020;February;100.1;2.0;0.3
2020;March;100.3;1.8;0.2
2020;April;100.4;1.0;0.1
2020;May;100.4;0.8;-
2020;June;100.5;0.6;0.1
2020;July;99.7;-0.6;-0.8
2020;August;99.7;-0.5;-
2020;September;99.7;-0.5;-
2020;October;99.9;-0.3;0.2
2020;November;99.7;0.2;-0.2
2020;December;99.8;-0.2;0.1
2021;January;101.0;1.2;1.2
2021;February;101.6;1.5;0.6
2021;March;102.1;1.8;0.5
2021;April;102.4;2.0;0.3
2021;May;102.6;2.2;0.2
2021;June;102.9;2.4;0.3
2021;July;103.4;3.7;0.5
2021;August;103.5;3.8;0.1
2021;September;103.8;4.1;0.3
2021;October;104.3;4.4;0.5
2021;November;104.5;4.8;0.2
2021;December;104.7;4.9;0.2
2022;January;105.2;4.2;0.5
2022;February;106.0;4.3;0.8
2022;March;108.1;5.9;2.0
2022;April;108.8;6.3;0.6
2022;May;109.8;7.0;0.9
2022;June;109.8;6.7;-
2022;July;110.3;6.7;0.5
2022;August;110.7;7.0;0.4
2022;September;112.7;8.6;1.8
2022;October;113.5;8.8;0.7
2022;November;113.7;8.8;0.2
2022;December;113.2;8.1;-0.4
2023;January;114.3;8.7;1.0
2023;February;115.2;8.7;0.8
2023;March;116.1;7.4;0.8
2023;April;116.6;7.2;0.4
2023;May;116.5;6.1;-0.1
2023;June;116.8;6.4;0.3
2023;July;117.1;6.2;0.3
2023;August;117.5;6.1;0.3
2023;September;...;...;...
2023;October;...;...;...
2023;November;...;...;...
2023;December;...;...;...
__________
© Federal Statistical Office, Wiesbaden 2023
created: 2023-09-24 / 19:09:12
